Instrument,Asset,Liability,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
E&IFS,PC,RoW,1,1,0.0006,0.0006,1,1,1,1,1
E&IFS,RoW,Unknown,736,778,527,745,850,748,781,897,881
E&IFS,RoW,ICPF,18,13,18,15,17,15,16,22,41
E&IFS,RoW,OFI,116,135,163,206,208,214,240,242,229
E&IFS,RoW,MFI,31,33,36,40,40,62,67,80,86
E&IFS,RoW,PNFC,292,345,378,355,395,408,515,503,695
E&IFS,RoW,PC,3,6,8,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
E&IFS,Unknown,OFI,454,408,219,344,370,274,315,362,358
E&IFS,Unknown,MFI,14,7,3,8,3,1,1,1,2
E&IFS,Unknown,PNFC,1558,1611,1078,1422,1613,1483,1486,1635,1528
E&IFS,Unknown,ICPF,73,67,40,44,48,40,52,68,82
"I,P&SGS",HH_NPISH,ICPF,2402,2478,2373,2442,2596,3000,3132,2999,3510
"I,P&SGS",ICPF,MFI,21,24,26,22,29,45,41,29,38
"I,P&SGS",ICPF,HH_NPISH,23,25,31,27,28,54,45,33,43
"I,P&SGS",ICPF,OFI,14,17,18,15,20,23,21,17,23
"I,P&SGS",ICPF,PNFC,385,427,539,459,444,697,694,502,656
"I,P&SGS",ICPF,LG,74,69,101,92,74,85,73,63,57
"I,P&SGS",ICPF,ICPF,7,8,9,8,8,13,11,9,10
"I,P&SGS",LG,ICPF,1,1,1,1,1,1,1,1,1
"I,P&SGS",MFI,ICPF,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
"I,P&SGS",PNFC,ICPF,16,13,13,11,7,5,4,4,4
"I,P&SGS",RoW,ICPF,26,22,17,14,13,12,15,15,15
Financial derivatives,CG,MFI,2,6,5,4,3,2,2,2,4
Financial derivatives,CG,OFI,0.0006,0.0006,0.0006,0.0006,2,2,2,1,0.0006
Financial derivatives,HH_NPISH,MFI,1,1,3,3,3,4,0.0006,4,2
Financial derivatives,ICPF,MFI,25,49,149,97,90,130,117,118,135
Financial derivatives,ICPF,OFI,0.0006,0.0006,0.0006,0.0006,6,12,9,8,12
Financial derivatives,MFI,MFI,363,512,1626,735,682,954,785,538,642
Financial derivatives,MFI,ICPF,27,51,147,94,88,127,116,117,132
Financial derivatives,MFI,CG,2,3,6,2,3,2,1,1,3
Financial derivatives,MFI,HH_NPISH,1,1,3,4,3,6,2,4,3
Financial derivatives,MFI,PC,0.0006,0.0006,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Financial derivatives,MFI,OFI,215,405,1767,1038,1182,1520,1313,1085,1061
Financial derivatives,MFI,PNFC,22,21,51,33,35,46,40,33,40
Financial derivatives,MFI,RoW,854,1378,4040,2176,2252,2760,2395,1629,1900
Financial derivatives,OFI,RoW,0.0006,0.0006,0.0006,0.0006,711,858,666,795,928
Financial derivatives,OFI,OFI,0.0006,0.0006,0.0006,0.0006,110,111,89,50,113
Financial derivatives,OFI,ICPF,0.0006,0.0006,0.0006,0.0006,5,9,9,8,12
Financial derivatives,OFI,CG,0.0006,0.0006,0.0006,0.0006,2,2,2,1,0.0006
Financial derivatives,OFI,MFI,201,388,1783,1072,1211,1548,1327,1098,1085
Financial derivatives,OFI,PNFC,0.0006,0.0006,0.0006,0.0006,1,2,2,3,6
Financial derivatives,PNFC,MFI,19,15,45,24,25,29,28,24,26
Financial derivatives,PNFC,OFI,0.0006,0.0006,0.0006,0.0006,1,1,1,2,4
Financial derivatives,PC,MFI,0.0006,2,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Financial derivatives,RoW,OFI,0.0006,0.0006,0.0006,0.0006,701,832,650,782,923
Financial derivatives,RoW,MFI,891,1392,3915,2097,2194,2723,2382,1595,1883
